disease_id,disease_key,disease_name,category,training_records,dataset_top_symptoms,self_care_level,safe_self_care_draft,avoid_or_caution,when_to_seek_medical_care,general_emergency_warning_signs,medlineplus_lookup_url,nhs_lookup_url,review_status,validation_note
56,idiopathic_irregular_menstrual_cycle,Idiopathic Irregular Menstrual Cycle,Urinary / reproductive / pregnancy,815,cramps and spasms (64%); long menstrual periods (52%); heavy menstrual flow (51%); pelvic pain (51%); unpredictable menstruation (51%); painful menstruation (50%); sharp abdominal pain (50%); frequent menstruation (50%),Supportive self-care may help symptoms,"Maintain hydration when not medically restricted, avoid irritating scented products, wear breathable clothing, and track symptoms. Pregnancy, urinary, pelvic, or persistent vaginal symptoms require professional evaluation rather than home treatment alone.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=idiopathic+irregular+menstrual+cycle,https://www.nhs.uk/search/results/?q=idiopathic+irregular+menstrual+cycle,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
57,idiopathic_painful_menstruation,Idiopathic Painful Menstruation,Urinary / reproductive / pregnancy,805,vaginal discharge (62%); pelvic pain (53%); cramps and spasms (52%); heavy menstrual flow (52%); vaginal itching (51%); long menstrual periods (51%); blood clots during menstrual periods (50%); painful menstruation (50%),Supportive self-care may help symptoms,"Maintain hydration when not medically restricted, avoid irritating scented products, wear breathable clothing, and track symptoms. Pregnancy, urinary, pelvic, or persistent vaginal symptoms require professional evaluation rather than home treatment alone.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=idiopathic+painful+menstruation,https://www.nhs.uk/search/results/?q=idiopathic+painful+menstruation,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
58,infectious_gastroenteritis,Infectious Gastroenteritis,Digestive / hepatobiliary,1212,nausea (52%); decreased appetite (52%); diarrhea (51%); headache (51%); chills (50%); vomiting (50%); burning abdominal pain (50%); fever (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=infectious+gastroenteritis,https://www.nhs.uk/search/results/?q=infectious+gastroenteritis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
59,injury_to_the_arm,Injury To The Arm,Musculoskeletal / neurologic,1209,wrist swelling (52%); loss of sensation (51%); elbow swelling (51%); arm stiffness or tightness (50%); elbow pain (50%); joint pain (50%); arm pain (50%); bones are painful (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=injury+to+the+arm,https://www.nhs.uk/search/results/?q=injury+to+the+arm,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
60,injury_to_the_leg,Injury To The Leg,Musculoskeletal / neurologic,1206,leg swelling (52%); problems with movement (52%); knee swelling (52%); knee pain (51%); ankle swelling (51%); foot or toe pain (51%); foot or toe swelling (51%); ankle pain (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=injury+to+the+leg,https://www.nhs.uk/search/results/?q=injury+to+the+leg,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
61,injury_to_the_trunk,Injury To The Trunk,Musculoskeletal / neurologic,803,symptoms of the scrotum and testes (64%); neck pain (53%); shoulder pain (52%); lower body pain (51%); back pain (51%); low back pain (51%); rib pain (51%); headache (51%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=injury+to+the+trunk,https://www.nhs.uk/search/results/?q=injury+to+the+trunk,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
62,liver_disease,Liver Disease,Digestive / hepatobiliary,1209,upper abdominal pain (52%); nausea (52%); blood in stool (51%); peripheral edema (51%); jaundice (51%); sharp abdominal pain (51%); unusual color or odor to urine (50%); side pain (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist. Do not force fluids or change salt intake without professional advice.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=liver+disease,https://www.nhs.uk/search/results/?q=liver+disease,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
63,macular_degeneration,Macular Degeneration,Eye,817,double vision (64%); foreign body sensation in eye (53%); blindness (52%); lacrimation (51%); abnormal movement of eyelid (51%); bleeding from eye (50%); spots or clouds in vision (50%); diminished vision (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=macular+degeneration,https://www.nhs.uk/search/results/?q=macular+degeneration,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
64,marijuana_abuse,Marijuana Abuse,Mental and behavioral health,1210,abusing alcohol (53%); excessive anger (52%); low self-esteem (52%); hostile behavior (52%); fears and phobias (51%); drug abuse (51%); depressive or psychotic symptoms (50%); depression (50%),Clinician-guided support,"Maintain regular sleep, meals, gentle activity, and social support. Use calming or grounding techniques when helpful and arrange assessment with a qualified mental-health professional. Avoid alcohol or recreational drugs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Seek professional help when symptoms disrupt daily life, persist, worsen, involve hallucinations, or create safety concerns.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=marijuana+abuse,https://www.nhs.uk/search/results/?q=marijuana+abuse,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
65,multiple_sclerosis,Multiple Sclerosis,Musculoskeletal / neurologic,825,abnormal involuntary movements (64%); leg weakness (54%); loss of sensation (52%); fatigue (52%); problems with movement (51%); disturbance of memory (51%); weakness (51%); paresthesia (51%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=multiple+sclerosis,https://www.nhs.uk/search/results/?q=multiple+sclerosis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
66,noninfectious_gastroenteritis,Noninfectious Gastroenteritis,Digestive / hepatobiliary,1206,diarrhea (53%); nausea (52%); decreased appetite (51%); sharp abdominal pain (51%); vomiting (51%); headache (51%); rectal bleeding (50%); burning abdominal pain (50%),Supportive self-care may help symptoms,"Drink adequate fluids, use small balanced meals, and avoid foods that clearly worsen symptoms. For constipation, gradually increase fiber and activity when appropriate. Stop self-care and seek medical advice if pain, bleeding, fever, or vomiting occurs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=noninfectious+gastroenteritis,https://www.nhs.uk/search/results/?q=noninfectious+gastroenteritis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
67,nose_disorder,Nose Disorder,Respiratory / ENT,1218,ear pain (52%); nosebleed (52%); facial pain (51%); difficulty breathing (51%); painful sinuses (51%); cough (51%); nasal congestion (50%); headache (50%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=nose+disorder,https://www.nhs.uk/search/results/?q=nose+disorder,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
68,obstructive_sleep_apnea_osa,Obstructive Sleep Apnea (Osa),Respiratory / ENT,1196,mouth dryness (53%); fatigue (52%); sweating (52%); difficulty breathing (51%); abnormal breathing sounds (51%); abnormal involuntary movements (51%); apnea (51%); weight gain (51%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=obstructive+sleep+apnea+%28osa%29,https://www.nhs.uk/search/results/?q=obstructive+sleep+apnea+%28osa%29,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
69,otitis_externa_swimmer_s_ear,Otitis Externa (Swimmer'S Ear),Respiratory / ENT,808,itchy ear(s) (62%); fever (53%); ear pain (53%); plugged feeling in ear (53%); redness in ear (52%); cough (51%); fluid in ear (51%); facial pain (50%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=otitis+externa+%28swimmer%27s+ear%29,https://www.nhs.uk/search/results/?q=otitis+externa+%28swimmer%27s+ear%29,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
70,otitis_media,Otitis Media,Other clinical condition,807,vomiting (64%); ear pain (53%); coryza (52%); diminished hearing (52%); plugged feeling in ear (51%); sore throat (51%); fever (51%); nasal congestion (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=otitis+media,https://www.nhs.uk/search/results/?q=otitis+media,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
71,pain_after_an_operation,Pain After An Operation,Musculoskeletal / neurologic,806,leg pain (64%); nausea (53%); low back pain (53%); headache (52%); back pain (52%); neck pain (51%); vomiting (51%); side pain (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=pain+after+an+operation,https://www.nhs.uk/search/results/?q=pain+after+an+operation,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
72,panic_disorder,Panic Disorder,Mental and behavioral health,810,depressive or psychotic symptoms (64%); dizziness (52%); abnormal involuntary movements (51%); insomnia (51%); breathing fast (51%); chest tightness (51%); anxiety and nervousness (50%); irregular heartbeat (50%),Clinician-guided support,"Maintain regular sleep, meals, gentle activity, and social support. Use calming or grounding techniques when helpful and arrange assessment with a qualified mental-health professional. Avoid alcohol or recreational drugs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Seek professional help when symptoms disrupt daily life, persist, worsen, involve hallucinations, or create safety concerns.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=panic+disorder,https://www.nhs.uk/search/results/?q=panic+disorder,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
73,pelvic_inflammatory_disease,Pelvic Inflammatory Disease,Urinary / reproductive / pregnancy,804,burning abdominal pain (64%); intermenstrual bleeding (51%); vaginal discharge (51%); painful urination (51%); back pain (51%); lower abdominal pain (50%); nausea (50%); vomiting (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=pelvic+inflammatory+disease,https://www.nhs.uk/search/results/?q=pelvic+inflammatory+disease,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
74,peripheral_nerve_disorder,Peripheral Nerve Disorder,Musculoskeletal / neurologic,1215,leg weakness (52%); loss of sensation (51%); arm pain (51%); back pain (51%); foot or toe pain (51%); leg pain (50%); abnormal involuntary movements (50%); paresthesia (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=peripheral+nerve+disorder,https://www.nhs.uk/search/results/?q=peripheral+nerve+disorder,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
75,personality_disorder,Personality Disorder,Mental and behavioral health,816,temper problems (62%); hostile behavior (54%); delusions or hallucinations (52%); insomnia (52%); low self-esteem (51%); depression (50%); excessive anger (50%); fears and phobias (50%),Clinician-guided support,"Maintain regular sleep, meals, gentle activity, and social support. Use calming or grounding techniques when helpful and arrange assessment with a qualified mental-health professional. Avoid alcohol or recreational drugs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Seek professional help when symptoms disrupt daily life, persist, worsen, involve hallucinations, or create safety concerns.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=personality+disorder,https://www.nhs.uk/search/results/?q=personality+disorder,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
76,pneumonia,Pneumonia,Respiratory / ENT,1212,vomiting (52%); cough (51%); nasal congestion (51%); weakness (51%); sore throat (50%); sharp chest pain (50%); difficulty breathing (49%); wheezing (49%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=pneumonia,https://www.nhs.uk/search/results/?q=pneumonia,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
77,problem_during_pregnancy,Problem During Pregnancy,Urinary / reproductive / pregnancy,820,pelvic pain (63%); lower abdominal pain (53%); back pain (53%); problems during pregnancy (53%); spotting or bleeding during pregnancy (51%); nausea (51%); pain during pregnancy (51%); vomiting (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=problem+during+pregnancy,https://www.nhs.uk/search/results/?q=problem+during+pregnancy,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
78,psoriasis,Psoriasis,Skin / dermatologic,825,"skin swelling (61%); skin rash (56%); irregular appearing scalp (52%); skin moles (51%); skin dryness, peeling, scaliness, or roughness (51%); skin growth (51%); itchy scalp (50%); itching of skin (50%)",Supportive self-care may help symptoms,"Keep the area clean and dry, avoid scratching and known irritants, use fragrance-free skin products, and protect affected skin from excessive sun or friction. Do not cut, squeeze, or burn lesions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=psoriasis,https://www.nhs.uk/search/results/?q=psoriasis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
79,pyogenic_skin_infection,Pyogenic Skin Infection,Other clinical condition,834,foot or toe pain (63%); abnormal appearing skin (53%); skin rash (52%); leg swelling (51%); hand or finger swelling (51%); peripheral edema (51%); leg pain (50%); foot or toe swelling (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=pyogenic+skin+infection,https://www.nhs.uk/search/results/?q=pyogenic+skin+infection,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
80,rectal_disorder,Rectal Disorder,Digestive / hepatobiliary,808,heartburn (63%); pain of the anus (53%); constipation (52%); burning abdominal pain (52%); sharp abdominal pain (51%); rectal bleeding (51%); diarrhea (49%); cramps and spasms (49%),Supportive self-care may help symptoms,"Drink adequate fluids, use small balanced meals, and avoid foods that clearly worsen symptoms. For constipation, gradually increase fiber and activity when appropriate. Stop self-care and seek medical advice if pain, bleeding, fever, or vomiting occurs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=rectal+disorder,https://www.nhs.uk/search/results/?q=rectal+disorder,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
81,schizophrenia,Schizophrenia,Mental and behavioral health,811,insomnia (64%); hysterical behavior (53%); depression (52%); fears and phobias (52%); delusions or hallucinations (51%); low self-esteem (51%); depressive or psychotic symptoms (51%); excessive anger (51%),Clinician-guided support,"Maintain regular sleep, meals, gentle activity, and social support. Use calming or grounding techniques when helpful and arrange assessment with a qualified mental-health professional. Avoid alcohol or recreational drugs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Seek professional help when symptoms disrupt daily life, persist, worsen, involve hallucinations, or create safety concerns.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=schizophrenia,https://www.nhs.uk/search/results/?q=schizophrenia,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
82,seasonal_allergies_hay_fever,Seasonal Allergies (Hay Fever),Respiratory / ENT,816,lacrimation (64%); ear pain (53%); frontal headache (52%); sneezing (51%); headache (51%); coryza (51%); allergic reaction (50%); nasal congestion (50%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=seasonal+allergies+%28hay+fever%29,https://www.nhs.uk/search/results/?q=seasonal+allergies+%28hay+fever%29,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
